,secuencia,birch-2,birch-3,birch-4,birch-5,birch-6,birch-7,birch-8,birch-9,birch-10,birch-11,birch-12,birch-13,birch-14,birch-15,birch-16,birch-17,birch-18,birch-19,birch-20,birch-21,birch-22,birch-23,birch-24,birch-25,birch-26,birch-27,birch-28,birch-29
209,sequence_51057,0,2,0,1,0,1,0,6,2,0,11,11,11,11,11,11,11,11,11,11,11,11,23,23,23,23,23,23
210,sequence_51056,0,2,0,1,0,1,0,6,2,0,11,11,11,11,11,11,11,11,11,11,11,11,23,23,23,23,23,23
211,sequence_51055,0,2,0,1,0,1,0,6,2,0,11,11,11,11,11,11,11,11,11,11,11,11,23,23,23,23,23,23
212,sequence_51142,1,1,1,0,1,0,7,7,7,7,7,7,7,7,3,1,0,18,18,18,18,18,18,18,18,18,18,18
213,sequence_50982,0,2,0,1,0,1,0,6,2,0,6,6,13,13,13,13,13,13,13,13,13,6,6,6,6,6,6,6
214,sequence_51132,1,1,1,0,1,0,7,7,7,7,7,7,7,7,3,1,0,7,7,7,7,7,7,7,7,7,3,3
215,sequence_51197,1,1,1,0,1,0,7,7,7,7,7,7,7,7,3,1,0,18,18,18,18,18,18,18,18,18,18,18
216,sequence_51004,0,2,0,1,0,1,0,8,8,8,8,8,3,3,1,0,10,10,10,10,10,10,10,10,10,10,10,4
217,sequence_50968,0,2,0,4,4,4,4,4,4,4,4,4,4,1,0,16,16,16,16,16,16,16,16,16,16,16,16,16
218,sequence_51200,1,1,1,0,1,0,1,1,1,1,1,0,6,6,6,6,6,6,6,6,6,2,2,0,12,12,12,12
219,sequence_50976,0,2,0,1,0,1,0,8,8,8,8,8,3,3,1,0,17,17,17,17,17,17,8,8,8,8,8,8
220,sequence_50977,0,2,0,1,0,1,0,8,8,8,8,8,3,3,1,0,10,10,10,10,10,10,10,10,10,10,10,4
221,sequence_51039,0,2,0,1,0,6,6,2,0,5,5,5,5,5,5,5,5,5,2,2,2,0,11,24,24,24,24,24
222,sequence_51126,1,1,1,0,1,0,7,7,7,7,7,7,7,7,3,1,0,7,7,7,7,7,7,7,7,7,3,3
223,sequence_51143,1,1,1,0,1,0,1,1,1,1,1,0,8,8,8,3,3,1,1,0,21,21,21,21,21,21,21,10
224,sequence_50981,0,2,0,1,0,1,0,8,8,8,8,8,3,3,1,0,17,17,17,17,17,17,8,8,8,8,8,8
225,sequence_50971,0,2,0,1,0,1,0,6,2,0,6,6,13,13,13,13,13,13,13,13,13,6,6,6,6,6,6,6
